abandon verlassen تخلى
miss vermissen يفتقد
missing fehlend مفقود
mission Mission مهمة
mixed gemischt مختلط
mixture Mischung خليط
modern modern حديث
modify modifizieren يعدل
moment Augenblick لحظة
Monday Montag الاثنين
money Geld مال
monkey Affe قرد
month Monat شهر
mood Stimmung مزاج
moon Mond قمر
morning Morgen صباح
mostly meistens غالبًا
mother Mutter أم
motorcycle Motorrad دراجة نارية
mount montieren يتسلق
mountain Berg جبل
mouse Maus فأر
mouth Mund فم
movement Bewegung حركة
movie Film فيلم
mud Schlamm طين
multiple mehrfach متعدد
multiply multiplizieren يضرب
mum Mama أمي
muscle Muskel عضلة
museum Museum متحف
music Musik موسيقى
musician Musician موسيقي
must müssen يجب
my mein لي
myself mich selbst نفسي
mysterious geheimnisvoll غامض
mystery Geheimnis لغز
nail Nagel مسمار
nation Nation أمة
natural natürlich طبيعي
naturally natürlich بطبيعة الحال
nature Natur طبيعة
nearly fast تقريبًا
neat ordentlich أنيق
necessarily unbedingt بالضرورة
necessary notwendig ضروري
neck Hals عنق
needle Nadel إبرة
neighbour Nachbar جار
neighbourhood Nachbarschaft حي
nerve Nerv عصب
nervous nervös عصبي
net Netz شبكة
network Netzwerk شبكة
never nie أبدًا
nevertheless dennoch مع ذلك
new neu جديد
news Nachrichten أخبار
newspaper Zeitung جريدة
nice nett لطيف
night Nacht ليل
nightmare Albtraum كابوس
nine neun تسعة
nineteen neunzehn تسعة عشر
ninety neunzig تسعون
nobody niemand لا أحد
noise Lärm ضجيج
noisy laut صاخب
none keiner لا شيء
nor noch ولا
normally normalerweise عادةً
northern nördlich شمالي
nose Nase أنف
not nicht ليس
nothing nichts لا شيء
notion Vorstellung فكرة
novel Roman رواية
November November نوفمبر
nowhere nirgendwo لا مكان
nuclear nuklear نووي
numerous zahlreich عديد
nurse Krankenschwester ممرضة
nut Nuss مكسرات
obey gehorchen يطيع
obligation Verpflichtung التزام
observation Beobachtung ملاحظة
observe beobachten يراقب
obtain erhalten يحصل على
obvious offensichtlich واضح
obviously offensichtlich بوضوح
occasion Gelegenheit مناسبة
occasionally gelegentlich أحيانًا
occur auftreten يحدث
ocean Ozean محيط
October Oktober أكتوبر
odd seltsam غريب
of von من
often oft غالبًا
oh oh أوه
oil Öl زيت
old alt قديم
old-fashioned altmodisch قديم الطراز
onion Zwiebel بصل
onto auf إلى
opening Eröffnung افتتاح
operate operieren يعمل
operation Operation عملية
opinion Meinung رأي
opponent Gegner خصم
opportunity Gelegenheit فرصة
oppose widersetzen يعارض
opposed entgegengesetzt معارض
opposition Opposition معارضة
option Option خيار
or oder أو
ordinary gewöhnlich عادي
organ Organ عضو
organization Organisation منظمة
organize organisieren ينظم
organized organisiert منظم
organizer Organizer منظم
origin Ursprung أصل
originally ursprünglich أصلاً
other andere آخر
otherwise sonst وإلا
ought sollte يجب
our unser لدينا
ours unser لنا
ourselves uns أنفسنا
out aus خارج
outcome Ergebnis نتيجة
outdoor Freiluft خارجي
outdoors im Freien في الهواء الطلق
outer äußerer خارجي
oven Ofen فرن
owe schulden يدين
owner Besitzer مالك
page Seite صفحة
pain Schmerz ألم
painful schmerzhaft مؤلم
painter Maler رسام
painting Gemälde رسم
pair Paar زوج
palace Palast قصر
pale blass شاحب
pan Pfanne مقلاة
panel Panel لوحة
pants Hose بنطال
paper Papier ورق
paragraph Absatz فقرة
parent Elternteil والد
parking Parken موقف سيارات
parliament Parlament برلمان
part Teil جزء
participant Teilnehmer مشارك
participate teilnehmen يشارك
particular besonderer خاص
particularly besonders خصوصًا
partly teilweise جزئيًا
partner Partner شريك
party Party حفلة
passage Passage ممر
passenger Passagier راكب
passion Leidenschaft شغف
passport Passport جواز سفر
path Pfad مسار
pattern Muster نمط
payment Zahlung دفع
peace Frieden سلام
peaceful friedlich سلمي
pen Stift قلم
pencil Bleistift قلم رصاص
penny Penny بنس
people Leute ناس
pepper Pfeffer فلفل
per pro لكل
percentage Prozentsatz نسبة مئوية
perfect perfekt مثالي
perfectly perfekt تمامًا
perform aufführen يؤدي
performance Leistung أداء
perhaps vielleicht ربما
period Periode فترة
permanent dauerhaft دائم
permission Erlaubnis إذن
person Person شخص
personal persönlich شخصي
personality Persönlichkeit شخصية
personally persönlich شخصيًا
perspective Perspektive منظور
persuade überzeugen يقنع
pet Haustier حيوان أليف
petrol Benzin بنزين
phase Phase مرحلة
phenomenon Phänomen ظاهرة
philosophy Philosophie فلسفة
photo Foto صورة
photographer Fotograf مصور
photography Fotografie تصوير
phrase Phrase عبارة
physical physisch جسدي
physics Physik فيزياء
piano Klavier بيانو
piece Stück قطعة
pig Schwein خنزير
pilot Pilot طيار
pipe Rohr أنبوب
pitch Ton ملعب
plain einfach سهل
plane Flugzeug طائرة
planet Planet كوكب
planning Planung تخطيط
plate Teller طبق
platform Plattform منصة
player Spieler لاعب
pleasant angenehm ممتع
pleased erfreut مسرور
pleasure Vergnügen متعة
plenty viel وفير
pocket Tasche جيب
poem Gedicht قصيدة
poet Dichter شاعر
poetry Poesie شعر
pointed spitz مدبب
poisonous giftig سام
police Polizei شرطة
policeman Polizist شرطي
policy Politik سياسة
polite höflich مهذب
political politisch سياسي
politician Politician سياسي
politics Politik سياسة
pollution Verschmutzung تلوث
pool Pool مسبح
poor arm فقير
popular beliebt مشهور
popularity Popularity شعبية
population Bevölkerung سكان
port Hafen ميناء
portrait Porträt صورة
pose posieren يضع
possess besitzen يمتلك
possession Besitz حيازة
possibility Möglichkeit إمكانية
possible möglich ممكن
possibly möglicherweise ربما
poster Poster ملصق
pot Topf وعاء
potato Kartoffel بطاطس
pound Pfund جنيه
pour gießen يصب
poverty Armut فقر
powder Pulver مسحوق
powerful mächtig قوي
practical praktisch عملي
practice Praxis ممارسة
practise üben يتدرب
pray beten يصلي
prayer Gebet صلاة
predict vorhersagen يتنبأ
prediction Vorhersage توقع
prefer bevorzugen يفضل
pregnant schwanger حامل
preparation Vorbereitung تحضير
prepare vorbereiten يحضر
prepared vorbereitet مستعد
presence Anwesenheit حضور
presentation Präsentation عرض
preserve bewahren يحفظ
president Präsident رئيس
pressure Druck ضغط
pretend vorgeben يتظاهر
prevent verhindر يمنع
previous vorherige سابق
previously zuvor سابقًا
priest Priester كاهن
primary primär ابتدائي
prime Prime رئيسي
prince Prinz أمير
princess Prinzessin أميرة
principle Prinzip مبدأ
printer Drucker طابعة
printing Druck طباعة
priority Priorität أولوية
prison Gefängnis سجن
prisoner Gefangener سجين
privacy Privatsphère خصوصية
private privat خاص
prize Preis جائزة
probably wahrscheinlich ربما
problem Problem مشكلة
procedure Verfahren إجراء
producer Producer منتج
product Produkt منتج
production Produktion إنتاج
profession Beruf مهنة
professor Professor أستاذ
programme Programm برنامج
promote fördern يروج
pronounce aussprechen ينطق
proof Beweis دليل
proper richtig مناسب
properly richtig بشكل صحيح
property Eigentum ملكية
proposal Vorschlag اقتراح
propose vorschlagen يقترح
prospect Aussicht توقع
protect schützen يحمي
protection Schutz حماية
proud stolz فخور
prove beweisen يثبت
provide bereitstellen يوفر
psychologist Psychologe عالم نفس
psychology Psychologie علم النفس
pub Kneipe حانة
publication Veröffentlich منشور
publish veröffentlich ينشر
punish bestrafen يعاقب
punishment Strafe عقاب
pupil Schüler تلميذ
pure rein نقي
purpose Zweck غرض
pursue verfolgen يتابع
put setzen يضع
qualify qualifizieren يتأهل
quality Qualität جودة
quantity Menge كمية
quarter Viertel ربع
queen Königin ملكة
quick schnell سريع
quickly schnell بسرعة
quiet leise هادئ
quietly leise بهدوء
quit aufhören يترك
quite ziemlich تمامًا
quotation Zitat اقتباس
racing Rennen سباق
radio Radio راديو
railway Eisenbahn سكة حديد
raise erhöhen يرفع
rapid schnell سريع
rapidly schnell بسرعة
rare selten نادر
rarely selten نادرًا
rather eher بل
raw roh خام
react reagieren يتفاعل
reaction Reaktion رد فعل
read lesen يقرأ
reader Leser قارئ
reading Lesen قراءة
ready bereit جاهز
real echt حقيقي
realistic realistisch واقعي
reality Realität واقع
realize erkennen يدرك
really wirklich حقًا
reason Grund سبب
reasonable vernünftig معقول
recall sich erinnern يتذكر
receipt Quittung إيصال
receive erhalten يستلم
recent kürzlich حديث
recently vor kurzem مؤخرًا
reception Empfang استقبال
recipe Rezept وصفة
recognize erkennen يعترف
recommend empfehlen يوصي
recommendation Empfehl توصية
recording Aufnahme تسجيل
recover erholen يتعافى
recycle recyceln يعيد تدوير
reduce reduzieren يقلل
reduction Reduzierung تخفيض
refer verweisen يشير
reference Referenz مرجع
region Region منطقة
regional regional إقليمي
regular regelmäßig منتظم
regularly regelmäßig بانتظام
regulation Regelung تنظيم
reject ablehن يرفض
relate beziehen يتعلق
related verwandt مرتبط
relation Beziehung علاقة
relationship Beziehung علاقة
relatively relativ نسبيًا
relax entspannen يسترخي
relaxed entspannt مسترخي
relaxing entspannend مريح
relevant relevant ذو صلة
reliable zuverlässig موثوق
relief Erleichterر ارتياح
religion Religion دين
religious religiös ديني
rely verlassen يعتمد
remain bleiben يبقى
remember erinnern يتذكر
remind erinnern يذكر
remote entfernt بعيد
remove entfernt يزيل
repeated wiederholt متكرر
replace ersetzen يستبدل
reporter Reporter مراسل
represent vertreten يمثل
reputation Ruf سمعة
require benötigen يتطلب
requirement Anforder متطلب
researcher Forscher باحث
reservation Reservierung حجز
resist widerstehen يقاوم
resolve lösen يحل
resort Resort منتجع
resource Ressource مورد
respond antworten يستجيب
response Antwort استجابة
responsibility Verantwortung مسؤولية
responsible verantwortlich مسؤول
restaurant Restaurant مطعم
retain behalten يحتفظ
retire in Rente gehen يتقاعد
retired pensioniert متقاعد
reveal enthüllen يكشف
revise überarbeiten يراجع
revolution Revolution ثورة
rhythm Rhythmus إيقاع
rice Reis أرز
rich reich غني
rid befreien يتخلص
river Fluss نهر
road Straße طريق
robot Roboter روبوت
role Rolle دور
romantic romantisch رومانسي
roof Dach سقف
room Zimmer غرفة
root Wurzel جذر
rope Seil حبل
rough rau خشن
route Route مسار
royal königlich ملكي
rub reiben يفرك
rubbish Müll قمامة
rude unhöflich وقح
rugby Rugby رجبي
runner Läufer عداء
running Laufen جري
rural ländlich ريفي
sad traurig حزين
sadly traurig للأسف
safe sicher آمن
safety Sicherheit سلامة
sailing Segeln إبحار
sailor Matrose بحار
salad Salat سلطة
salary Gehalt راتب
sale Verkauf بيع
salt Salz ملح
sand Sand رمل
sandwich Sandwich ساندويتش
satellite Satellit قمر صناعي
satisfy zufriedenstellen يرضي
Saturday Samstag السبت
sauce Soße صلصة
save sparen يحفظ
saving Ersparnis توفير
say sagen يقول
scale Skala مقياس
scan scannen يمسح
scared verängstigt خائف
scary gruselig مخيف
scene Szene مشهد
scheme Schema مخطط
school Schule مدرسة
science Wissenschaft علم
scientist Wissenschaftler عالم
script Skript نص
sculpture Skulptur تمثال
sea Meer بحر
season Jahreszeit موسم
secondary sekundär ثانوي
secondly zweitens ثانيًا
secretary Sekretär سكرتير
section Abschnitt قسم
sector Sektor قطاع
security Sicherheit أمن
see sehen يرى
seed Samen بذرة
seek suchen يبحث
seem scheinen يبدو
select auswählen يختار
selection Auswahl اختيار
self selbst نفس
sell verkaufen يبيع
send senden يرسل
senior Senior كبير
sensible vernünftig معقول
sensitive empfindlich حساس
September September سبتمبر
sequence Reihenfolge تسلسل
series Serie سلسلة
serious ernst جاد
seriously ernsthaft بجدية
servant Diener خادم
serve servieren يخدم
service Service خدمة
session Sitzung جلسة
setting Einstellung إعداد
settle sich niederlassen يستقر
seven sieben سبعة
seventeen siebzehn سبعة عشر
seventy siebzig سبعون
several mehrere عدة
severe schwer شديد
sex Sex جنس
sexual sexuell جنسي
shade Schatten ظل
shadow Schatten ظل
shall sollen سوف
shallow seicht ضحل
shame Schande عار
sharp scharf حاد
she sie هي
sheep Schaf خروف
sheet Blatt ورقة
shelf Regal رف
shell Muschel صدفة
shine scheinen يلمع
shiny glänzend لامع
shirt Hemd قميص
shocked schockiert مصدوم
shoe Schuh حذاء
shoot schießen يطلق النار
shooting Schießen إطلاق نار
shopping Einkaufen تسوق
short kurz قصير
shot Schuss طلقة
should sollte يجب
shoulder Schulter كتف
shower Dusche دش
shy schüchtern خجول
sick krank مريض
side Seite جانب
sight Sehen بصر
silence Stille صمت
silent still صامت
silk Seide حرير
silly albern سخيف
similar ähnlich مشابه
similarity Ähnlichkeit تشابه
similarly ähnlich بالمثل
simple einfach بسيط
simply einfach ببساطة
sincere aufrichtig صادق
sing singen يغني
singer Sänger مغني
singing Singen غناء
sink Waschbecken حوض
sir Herr سيد
sister Schwester أخت
sit sitzen يجلس
site Standort موقع
situation Situation وضع
six sechs ستة
sixteen sechzehn ستة عشر
sixty sechzig ستون
size Größe حجم
skiing Skifahren تزلج
skill Fähigkeit مهارة
skin Haut جلد
skirt Rock تنورة
sky Himmel سماء
slave Sklave عبد
slight leicht طفيف
slightly leicht قليلاً
slip rutschen ينزلق
slowly langsam ببطء
small klein صغير
smart intelligent ذكي
smartphone Smartphone هاتف ذكي
smoking Rauchen تدخين
smooth glatt ناعم
snake Schlange ثعبان
soap Seife صابون
soccer Fußball كرة قدم
social sozial اجتماعي
society Gesellschaft مجتمع
sock Socke جورب
soft weich ناعم
software Software برنامج
soil Boden تربة
solar solar شمسي
soldier Soldat جندي
solution Lösung حل
solve lösen يحل
somebody jemand شخص ما
someone jemand أحد
something etwas شيء ما
sometimes manchmal أحيانًا
somewhat etwas إلى حد ما
son Sohn ابن
song Lied أغنية
soon bald قريبًا
soul Seele روح
soup Suppe حساء
source Quelle مصدر
southern südlich جنوبي
space Weltall فضاء
speak sprechen يتكلم
speaker Sprecher متحدث
special speziell خاص
species Spezies نوع
speech Rede خطاب
spell buchstabieren يتهجى
spelling Rechtschreibung تهجئة
spend ausgeben ينفق
spending Ausgaben إنفاق
spicy würzig حار
spider Spinne عنكبوت
spirit Geist روح
spiritual spirituell روحي
spoken gesprochen منطوق
spoon Löffel ملعقة
sport Sport رياضة
stable stabil مستقر
stadium Stadion ملعب
stair Treppe سلم
stamp Briefmarke طابع
stare starren يحدق
statement Aussage بيان
station Station محطة
statistic Statistik إحصائية
statue Statue تمثال
status Status حالة
steady stetig ثابت
steal stehlen يسرق
steel Stahl فولاذ
steep steil حاد
sticky klebr لزج
stock Lager مخزون
stomach Magen معدة
stone Stein حجر
storm Sturm عاصفة
story Geschichte قصة
strange seltsam غريب
stranger Fremder غريب
strategy Strategia إستراتيجية
stream Strom تيار
street Straße شارع
strength Stärke قوة
strict streng صارم
string Schnur خيط
strong stark قوي
strongly stark بشدة
student Student طالب
studio Studio ستوديو
stupid dumm غبي
style Stil أسلوب
submit einreichen يقدم
substance Substanz مادة
succeed erfolgreich sein ينجح
success Erfolg نجاح
successful erfolgreich ناجح
successfully erfolgreich بنجاح
such solche مثل
sudden plötzlich مفاجئ
suddenly plötzlich فجأة
sugar Zucker سكر
suggest vorschlagen يقترح
suggestion Vorschlag اقتراح
suitable geeignet مناسب
summarize zusammenfassen يلخص
summary Zusammenfassung ملخص
summer Sommer صيف
sun Sonne شمس
Sunday Sonntag الأحد
supermarket Supermarkt سوبر ماركت
supporter Unterstützer مؤيد
suppose annehmen يفترض
surely sicher بالتأكيد
surface Oberfläche سطح
surgery Operation جراحة
surprised überrascht متفاجئ
surprising überraschend مفاجئ
surround umgeben يحيط
surrounding umgebend محيط
survive überleben يعيش
swear schwören يحلف
sweater Pullover سترة
sweep fegen يكنس
swimming Schwimmen سباحة
symbol Symbol رمز
sympathy Mitgefühl تعاطف
symptom Symptom عرض
system System نظام
table Tisch طاولة
tablet Tablette لوح
tail Schwanz ذيل
take nehmen يأخذ
tale Geschichte حكاية
talent Talent موهبة
talented talentiert موهوب
tall groß طويل
tank Tank خزان
tape Band شريط
task Aufgabe مهمة
taxi Taxi تاكسي
tea Tee شاي
teach lehren يعلم
teacher Lehrer معلم
teaching Unterricht تعليم
team Team فريق
technical technisch فني
technique Technik تقنية
technology Technologie تكنولوجيا
teenage Teenager مراهق
teenager Teenager مراهق
television Fernsehen تلفزيون
tell erzählen يخبر
temperature Temperatur درجة حرارة
temporary vorübergehend مؤقت
ten zehn عشرة
tend neigen يميل
tennis Tennis تنس
tent Zelt خيمة
terrible schrecklich فظيع
than als من
thank danken يشكر
theatre Theater مسرح
their ihr لهم
theirs ihrs لهم
them ihnen هم
theme Thema موضوع
themselves sich أنفسهم
then dann ثم
theory Theorie نظرية
therapy Therapia علاج
there dort هناك
therefore daher لذلك
they sie هم
thick dick سميك
thief Dieb لص
thin dünn رقيق
thing Sache شيء
think denken يفكر
thinking Denken تفكير
thirsty durstig عطشان
thirteen dreizehn ثلاثة عشر
thirty dreißig ثلاثون
thought Gedanke فكرة
thousand tausend ألف
threat Bedrohung تهديد
threaten bedrohen يهدد
three drei ثلاثة
throat Hals حلق
throughout während طوال
throw werfen يرمي
Thursday Donnerstag الخميس
thus somit هكذا
ticket Ticket تذكرة
tight eng ضيق
till bis حتى
tin Dose صفيح
tiny winzig صغير جدًا
tired müde متعب
toe Zeh إصبع القدم
together zusammen معًا
toilet Toilette مرحاض
tomato Tomate طماطم
tone Ton نغمة
tongue Zunge لسان
too auch أيضًا
tool Werkzeug أداة
tooth Zahn سن
topic Thema موضوع
totally total تمامًا
tough zäh صعب
tourism Tourismus سياحة
tourist Tourist سائح
towards تجاه نحو
towel Handtuch منشفة
tower Turm برج
town Stadt بلدة
tradition Tradition تقليد
traditional traditionell تقليدي
trainer Trainer مدرب
training Training تدريب
transform verwandل يتحول
transition Übergang انتقال
translate übersetzen يترجم
translation Übersetzung ترجمة
traveller Reisender مسافر
treat behandل يعامل
treatment Behandlung علاج
tree Baum شجرة
trend Trend اتجاه
trial Versuch محاكمة
tropical tropisch استوائي
trousers Hose بنطال
truck LKW شاحنة
true wahr حقيقي
truly حقًا wirklich
truth Wahrheit حقيقة
T-shirt T-Shirt تي شيرت
tube Tube أنبوب
Tuesday Dienstag الثلاثاء
tune Melodie لحن
tunnel Tunnel نفق
TV TV تلفزيون
twelve zwölf اثنا عشر
twenty zwanzig عشرون
twice zweimal مرتين
two zwei اثنان
typical typisch نموذجي
typically typischerweise عادةً
tyre Reifen إطار
ugly hässlich قبيح
ultimately letztlich في النهاية
umbrella Regenschirm مظلة
unable غير قادر unfähig
uncle Onkel عم
uncomfortable unangenehm غير مريح
unconscious bewusstlos فاقد الوعي
understand verstehen يفهم
understanding Verständnis فهم
underwear Unterwäsche ملابس داخلية
unemployed arbeitslos عاطل
unemployment Arbeitslosigkeit بطالة
unexpected unerwartet غير متوقع
unfair unfair غير عادل
unfortunately leider للأسف
unhappy unglücklich غير سعيد
uniform Uniform زي موحد
union Union اتحاد
unique einzigartي فريد
unit Einheit وحدة
united vereinigt متحد
universe Universum كون
university Universität جامعة
unknown unbekannt مجهول
unless es sei denn إلا إذا
unlike على عكس anders als
unlikely unwahrscheinlich غير محتمل
unnecessary unnötig غير ضروري
unpleasant unangenehm غير سار
until bis حتى
unusual ungewöhnlich غير عادي
upon auf على
upper oberer علوي
upwards aufwärts إلى الأعلى
urban städtisch حضري
urge drängen يحث
us uns نحن
useful nützlich مفيد
user Benutzer مستخدم
usual üblich معتاد
usually normalerweise عادةً
vacation Urlaub عطلة
valley Tal وادي
valuable wertvoll قيم
van Van شاحنة صغيرة
variety Vielfalt تنوع
various verschieden متنوع
vary variieren يختلف
vast riesig شاسع
vegetable Gemüse خضار
vehicle Fahrzeug مركبة
venue Veranstaltungsort مكان
version Version نسخة
via über عبر
victim Opfer ضحية
victory Sieg نصر
video Video فيديو
viewer Zuschauer مشاهد
village Dorf قرية
violence Gewalt عنف
violent gewalttätig عنيف
virtual virtuell افتراضي
virus Virus فيروس
vision Vision رؤية
visitor Besucher زائر
visual visuell مرئي
vital lebenswichtig حيوي
vitamin Vitamin فيتامين
voice Stimme صوت
volume Volumen حجم
wage Lohn أجر
waiter Kellner نادل
wake aufwachen يستيقظ
wall Mauer جدار
want wollen يريد
war Krieg حرب
warn warnen يحذر
warning Warnung تحذير
washing Waschen غسيل
we wir نحن
weak schwach ضعيف
weakness Schwäche ضعف
wealth Reichtum ثروة
wealthy wohlhabend ثري
weapon Waffe سلاح
wear tragen يرتدي
weather Wetter طقس
web Web شبكة
website Website موقع
wedding Hochzeit زفاف
Wednesday Mittwoch الأربعاء
week Woche أسبوع
weekend Wochenende عطلة نهاية الأسبوع
weigh wiegen يزن
weight Gewicht وزن
western westlich غربي
wet nass رطب
what was ما
whatever was auch immer مهما
wheel Rad عجلة
whenever wann immer متى
whereas während في حين
wherever wo auch immer أينما
whether ob سواء
which welche الذي
who wer من
whom wen من
whose dessen الذي
why warum لماذا
wide weit واسع
widely weitgehend على نطاق واسع
wife Frau زوجة
wild wild بري
wildlife Tierwelt حياة برية
willing bereit راغب
window Fenster نافذة
wine Wein نبيذ
wing Flügel جناح
winner Gewinner فائز
winter Winter شتاء
wire Draht سلك
wise weise حكيم
with mit مع
within innerhalb خلال
without ohne بدون
woman Frau امرأة
wonderful wunderbar رائع
wood Holz خشب
wooden hölzern خشبي
wool Wolle صوف
word Wort كلمة
worker Arbeiter عامل
working Arbeit عمل
world Welt عالم
worried besorgt قلق
would würde سوف
wow wow واو
wrap wickeln يغلف
write schreiben يكتب
writer Schriftsteller كاتب
writing Schreiben كتابة
written geschrieben مكتوب
yard Hof ساحة
yeah ja نعم
year Jahr سنة
yes ja نعم
conj. Konjunktion حرف عطف
you du أنت
your dein لك
yours deins لك
yourself selbst نفسك
youth Jugend شباب
zero Null صفر
zone Zone منطقة
